match_id,batting_team_1,batsman_runs_1,extra_runs_1,total_runs_1,is_wicket_1,over_1,batting_team_2,batsman_runs_2,extra_runs_2,total_runs_2,is_wicket_2,over_2
1,Kolkata Knight Riders,205,17,222,3,20.0,Royal Challengers Bangalore,63.0,19.0,82.0,10.0,15.2
2,Chennai Super Kings,234,6,240,5,20.0,Punjab Kings,196.0,11.0,207.0,4.0,20.0
3,Rajasthan Royals,122,7,129,8,20.0,Delhi Capitals,122.0,10.0,132.0,1.0,15.1
4,Mumbai Indians,154,11,165,7,20.0,Royal Challengers Bangalore,161.0,5.0,166.0,5.0,19.5
5,Deccan Chargers,100,10,110,10,18.4,Kolkata Knight Riders,84.0,28.0,112.0,5.0,19.0
6,Punjab Kings,162,4,166,8,19.7,Rajasthan Royals,156.0,12.0,168.0,4.0,18.1
7,Deccan Chargers,137,5,142,8,19.7,Delhi Capitals,131.0,12.0,143.0,1.0,13.1
8,Chennai Super Kings,190,18,208,5,20.0,Mumbai Indians,189.0,13.0,202.0,7.0,19.7
9,Deccan Chargers,208,6,214,5,19.7,Rajasthan Royals,210.0,7.0,217.0,7.0,19.5
10,Punjab Kings,175,7,182,10,20.0,Mumbai Indians,109.0,7.0,116.0,9.0,20.0
11,Royal Challengers Bangalore,129,6,135,8,19.7,Rajasthan Royals,135.0,3.0,138.0,3.0,17.1
12,Kolkata Knight Riders,139,8,147,9,19.7,Chennai Super Kings,134.0,18.0,152.0,1.0,17.0
13,Mumbai Indians,143,11,154,7,20.0,Deccan Chargers,146.0,9.0,155.0,0.0,12.0
14,Delhi Capitals,147,11,158,8,20.0,Punjab Kings,153.0,9.0,162.0,6.0,19.3
15,Chennai Super Kings,174,4,178,5,20.0,Royal Challengers Bangalore,158.0,7.0,165.0,10.0,19.4
16,Kolkata Knight Riders,124,13,137,8,19.7,Mumbai Indians,123.0,15.0,138.0,3.0,18.4
17,Delhi Capitals,187,4,191,5,20.0,Royal Challengers Bangalore,169.0,12.0,181.0,5.0,20.0
