Player_Name,Matches,Not_Outs,Runs_Scored,Balls_Faced,Centuries,Half_Centuries,Fours,Sixes,Catches_Taken,Stumpings,Balls_Bowled,Runs_Conceded,Wickets_Taken,Four_Wicket_Hauls,Five_Wicket_Hauls,Best_Bowling,Best_Bowling_Match,Batting_Average,Batting_Strike_Rate,Bowling_Average,Economy_Rate,Bowling_Strike_Rate
Abdul Samad,35,8,410,298,0,0,23,26,18,0,54,113,2,0,0,"(1, 9)",1/9,15.185185185185185,137.58389261744966,56.5,12.555555555555555,27.0
Abhinav Manohar,17,1,222,158,0,0,20,10,8,0,0,0,0,0,0,"(0, 0)",0/0,13.875,140.50632911392404,0.0,0.0,0.0
Abhishek Sharma,48,6,925,669,0,4,96,33,11,0,228,338,9,0,0,"(2, 4)",2/4,22.023809523809526,138.26606875934232,37.55555555555556,8.894736842105264,25.333333333333332
Abid Mushtaq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0, 0)",0/0,0.0,0.0,0.0,0.0,0.0
Abishek Porel,5,1,65,41,0,0,5,4,4,0,0,0,0,0,0,"(0, 0)",0/0,16.25,158.53658536585365,0.0,0.0,0.0
Adam Zampa,11,0,5,8,0,0,1,0,0,0,287,370,21,0,1,"(6, 19)",6/19,0.45454545454545453,62.5,17.61904761904762,7.7351916376306615,13.666666666666666
Aiden Markram,34,7,793,603,0,4,57,31,21,0,109,157,2,0,0,"(1, 8)",1/8,29.37037037037037,131.50912106135985,78.5,8.642201834862385,54.5
Ajay Mandal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0, 0)",0/0,0.0,0.0,0.0,0.0,0.0
Ajinkya Rahane,174,17,4439,3596,2,30,455,98,70,0,6,5,1,0,0,"(1, 5)",1/5,28.273885350318473,123.44271412680756,5.0,5.0,6.0
Akash Deep,7,0,17,10,0,0,2,1,3,0,143,264,6,0,0,"(3, 45)",3/45,2.4285714285714284,170.0,44.0,11.076923076923077,23.833333333333332
Akash Madhwal,8,0,0,0,0,0,0,0,0,0,153,219,14,1,1,"(5, 5)",5/5,0.0,0.0,15.642857142857142,8.588235294117647,10.928571428571429
Akash Singh,6,0,0,0,0,0,0,0,1,0,138,227,5,0,0,"(2, 40)",2/40,0.0,0.0,45.4,9.869565217391305,27.6
Alzarri Joseph,21,6,27,32,0,0,3,0,4,0,422,657,21,0,1,"(6, 12)",6/12,1.8,84.375,31.285714285714285,9.341232227488153,20.095238095238095
Amit Mishra,154,25,381,419,0,0,31,5,24,0,3359,4129,173,4,1,"(5, 17)",5/17,2.953488372093023,90.9307875894988,23.86705202312139,7.375409348020244,19.416184971098264
Andre Russell,113,19,2326,1325,0,11,153,200,32,0,1533,2376,98,2,1,"(5, 15)",5/15,24.74468085106383,175.54716981132074,24.244897959183675,9.299412915851272,15.642857142857142
Angkrish Raghuvanshi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0, 0)",0/0,0.0,0.0,0.0,0.0,0.0
Anmolpreet Singh,7,0,134,109,0,0,18,3,1,0,0,0,0,0,0,"(0, 0)",0/0,19.142857142857142,122.93577981651376,0.0,0.0,0.0
Anrich Nortje,40,9,45,41,0,0,6,0,9,0,922,1280,53,0,0,"(3, 33)",3/33,1.4516129032258065,109.75609756097562,24.150943396226417,8.329718004338396,17.39622641509434
Anshul Kamboj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0, 0)",0/0,0.0,0.0,0.0,0.0,0.0
Anuj Rawat,21,4,279,229,0,1,21,14,16,0,0,0,0,0,0,"(0, 0)",0/0,16.41176470588235,121.83406113537119,0.0,0.0,0.0
Anukul Roy,6,2,23,21,0,0,3,0,5,0,102,131,5,0,0,"(2, 19)",2/19,5.75,109.52380952380953,26.2,7.705882352941177,20.4
Arjun Tendulkar,4,0,13,9,0,0,0,1,0,0,59,92,3,0,0,"(1, 9)",1/9,3.25,144.44444444444443,30.666666666666668,9.35593220338983,19.666666666666668
Arshdeep Singh,53,7,25,37,0,0,3,0,11,0,1106,1615,59,1,1,"(5, 32)",5/32,0.5434782608695652,67.56756756756756,27.372881355932204,8.76130198915009,18.74576271186441
Arshin Kulkarni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0, 0)",0/0,0.0,0.0,0.0,0.0,0.0
Ashton Turner,4,1,3,10,0,0,0,0,0,0,0,0,0,0,0,"(0, 0)",0/0,1.0,30.0,0.0,0.0,0.0
